class_idx,class_name,total,correct,accuracy
0,tench,50,47,0.9399999976158142
1,goldfish,50,47,0.9399999976158142
2,great white shark,50,39,0.7799999713897705
3,tiger shark,50,38,0.7599999904632568
4,hammerhead,50,38,0.7599999904632568
5,electric ray,50,33,0.6600000262260437
6,stingray,50,37,0.7400000095367432
7,cock,50,36,0.7200000286102295
8,hen,50,40,0.800000011920929
9,ostrich,50,48,0.9599999785423279
10,brambling,50,43,0.8600000143051147
11,goldfinch,50,46,0.9200000166893005
12,house finch,50,43,0.8600000143051147
13,junco,50,48,0.9599999785423279
14,indigo bunting,50,46,0.9200000166893005
15,robin,50,46,0.9200000166893005
16,bulbul,50,42,0.8399999737739563
17,jay,50,44,0.8799999952316284
18,magpie,50,43,0.8600000143051147
19,chickadee,50,44,0.8799999952316284
20,water ouzel,50,42,0.8399999737739563
21,kite,50,35,0.699999988079071
22,bald eagle,50,47,0.9399999976158142
23,vulture,50,45,0.8999999761581421
24,great grey owl,50,48,0.9599999785423279
25,European fire salamander,50,46,0.9200000166893005
26,common newt,50,32,0.6399999856948853
27,eft,50,37,0.7400000095367432
28,spotted salamander,50,45,0.8999999761581421
29,axolotl,50,42,0.8399999737739563
30,bullfrog,50,39,0.7799999713897705
31,tree frog,50,42,0.8399999737739563
32,tailed frog,50,19,0.3799999952316284
33,loggerhead,50,41,0.8199999928474426
34,leatherback turtle,50,33,0.6600000262260437
35,mud turtle,50,27,0.5400000214576721
36,terrapin,50,24,0.47999998927116394
37,box turtle,50,37,0.7400000095367432
38,banded gecko,50,37,0.7400000095367432
39,common iguana,50,40,0.800000011920929
40,American chameleon,50,28,0.5600000023841858
41,whiptail,50,42,0.8399999737739563
42,agama,50,37,0.7400000095367432
43,frilled lizard,50,39,0.7799999713897705
44,alligator lizard,50,27,0.5400000214576721
45,Gila monster,50,37,0.7400000095367432
46,green lizard,50,25,0.5
47,African chameleon,50,39,0.7799999713897705
48,Komodo dragon,50,42,0.8399999737739563
49,African crocodile,50,29,0.5799999833106995
50,American alligator,50,39,0.7799999713897705
51,triceratops,50,43,0.8600000143051147
52,thunder snake,50,36,0.7200000286102295
53,ringneck snake,50,42,0.8399999737739563
54,hognose snake,50,32,0.6399999856948853
55,green snake,50,25,0.5
56,king snake,50,39,0.7799999713897705
57,garter snake,50,44,0.8799999952316284
58,water snake,50,35,0.699999988079071
59,vine snake,50,28,0.5600000023841858
60,night snake,50,13,0.25999999046325684
61,boa constrictor,50,36,0.7200000286102295
62,rock python,50,27,0.5400000214576721
63,Indian cobra,50,41,0.8199999928474426
64,green mamba,50,29,0.5799999833106995
65,sea snake,50,39,0.7799999713897705
66,horned viper,50,30,0.6000000238418579
67,diamondback,50,35,0.699999988079071
68,sidewinder,50,10,0.20000000298023224
69,trilobite,50,48,0.9599999785423279
70,harvestman,50,43,0.8600000143051147
71,scorpion,50,44,0.8799999952316284
72,black and gold garden spider,50,47,0.9399999976158142
73,barn spider,50,19,0.3799999952316284
74,garden spider,50,28,0.5600000023841858
75,black widow,50,42,0.8399999737739563
76,tarantula,50,47,0.9399999976158142
77,wolf spider,50,35,0.699999988079071
78,tick,50,36,0.7200000286102295
79,centipede,50,33,0.6600000262260437
80,black grouse,50,45,0.8999999761581421
81,ptarmigan,50,39,0.7799999713897705
82,ruffed grouse,50,44,0.8799999952316284
83,prairie chicken,50,46,0.9200000166893005
84,peacock,50,46,0.9200000166893005
85,quail,50,44,0.8799999952316284
86,partridge,50,39,0.7799999713897705
87,African grey,50,46,0.9200000166893005
88,macaw,50,49,0.9800000190734863
89,sulphur-crested cockatoo,50,46,0.9200000166893005
90,lorikeet,50,49,0.9800000190734863
91,coucal,50,43,0.8600000143051147
92,bee eater,50,47,0.9399999976158142
93,hornbill,50,42,0.8399999737739563
94,hummingbird,50,46,0.9200000166893005
95,jacamar,50,45,0.8999999761581421
96,toucan,50,44,0.8799999952316284
97,drake,50,39,0.7799999713897705
98,red-breasted merganser,50,44,0.8799999952316284
99,goose,50,38,0.7599999904632568
100,black swan,50,48,0.9599999785423279
101,tusker,50,28,0.5600000023841858
102,echidna,50,48,0.9599999785423279
103,platypus,50,35,0.699999988079071
104,wallaby,50,38,0.7599999904632568
105,koala,50,43,0.8600000143051147
106,wombat,50,38,0.7599999904632568
107,jellyfish,50,41,0.8199999928474426
108,sea anemone,50,28,0.5600000023841858
109,brain coral,50,44,0.8799999952316284
110,flatworm,50,36,0.7200000286102295
111,nematode,50,44,0.8799999952316284
112,conch,50,35,0.699999988079071
113,snail,50,40,0.800000011920929
114,slug,50,38,0.7599999904632568
115,sea slug,50,39,0.7799999713897705
116,chiton,50,38,0.7599999904632568
117,chambered nautilus,50,43,0.8600000143051147
118,Dungeness crab,50,40,0.800000011920929
119,rock crab,50,27,0.5400000214576721
120,fiddler crab,50,29,0.5799999833106995
121,king crab,50,36,0.7200000286102295
122,American lobster,50,42,0.8399999737739563
123,spiny lobster,50,37,0.7400000095367432
124,crayfish,50,29,0.5799999833106995
