Model,VQAv2,SQA,MME,MM-Bench,GQA,MMMU,TextVQA,OCRBench,OCRBenchv2,DocVQA,ChartQAPro,POPE,LLaVA-Wild,MM-Vet,TFLOPs
LLaVA-1.5-7B,76.96,68.32,1459.94,73.61,58.79,34.3,57.43,19.3,24.0,25.46,11.74,85.13,60.7,29.2,8.89
fixed pooling-4x,74.86,67.87,1413.55,73.95,55.93,34.1,55.62,15.8,22.1,18.75,10.92,84.88,69.0,28.5,3.16
PruMerge-4x,74.54,69.31,1424.85,73.50,55.29,34.9,55.26,15.8,20.6,16.82,11.26,82.37,60.4,27.3,3.18
PruneSID-4x,74.96,68.67,1394.80,73.68,56.07,34.0,54.73,15.3,20.7,16.09,10.73,84.37,59.3,26.6,3.16
Perceiver-4x,71.88,69.46,1330.78,72.40,52.11,34.9,53.75,14.6,20.3,14.65,10.04,80.71,60.2,25.6,3.17
DRIP-4x,75.12,69.26,1362.44,74.14,55.79,34.4,56.16,17.1,22.6,21.08,10.89,84.07,62.8,28.0,3.18
fixed pooling-8x,73.08,68.96,1320.00,72.68,54.14,34.4,53.93,14.3,20.4,16.22,10.99,82.56,59.8,26.3,2.21
PruMerge-8x,71.50,68.96,1357.71,72.84,52.37,34.3,54.65,14.8,19.5,15.01,10.87,78.42,58.7,26.8,2.22
PruneSID-8x,73.79,69.06,1433.42,73.45,55.34,34.8,54.54,14.3,19.9,14.69,11.07,84.49,61.6,25.5,2.21
Perceiver-8x,71.64,70.90,1355.17,72.81,52.39,34.8,54.26,15.0,20.1,14.86,10.69,81.23,61.1,25.7,2.21
DRIP-8x,73.18,69.01,1356.79,73.13,54.05,34.6,55.51,15.8,21.0,18.28,11.18,82.34,62.3,27.2,2.23
fixed pooling-10x,72.48,67.77,1325.38,73.00,54.01,33.0,53.66,13.7,20.3,15.49,10.17,83.06,60.0,26.8,2.01
PruMerge-10x,70.17,69.41,1325.20,72.49,51.43,34.3,54.25,14.6,18.8,14.35,10.77,77.28,50.1,27.2,2.02
PruneSID-10x,73.08,69.01,1399.69,73.50,54.60,34.9,53.53,14.4,20.2,13.75,10.51,83.25,56.5,25.2,2.01
Perceiver-10x,71.19,69.36,1312.35,72.31,52.15,33.6,54.50,14.0,20.2,14.04,10.39,80.70,59.9,24.6,2.01
DRIP-10x,72.42,70.15,1310.24,73.47,53.56,33.6,55.39,14.5,20.9,17.31,10.93,82.81,60.7,28.3,2.04
